MODELO;MARCA
NEW OUTBACK TDI CVT 2.0;SUBARU
ML500 4.7;MERCEDES BENZ
CAPTIVA LT FULL AWD 2.4;CHEVROLET
508 RXH BLUE HDI 2.0 AUT;PEUGEOT
S300 1.0;CHANGAN
NEW RAV4 2.0 AUT;TOYOTA
N GRAND CHEROKEE LAREDO S 3.6 AUT;JEEP
CAYENNE PLATINIUM AWD 3.0 AUT;PORSCHE
4008 ACTIVE 4X4 2.0 AT;PEUGEOT
EXPEDITION EDDIE BAUER AUT;FORD
WRANGLER 4X4 2.8 AUT;JEEP
COOPER COUNTRYMAN 4WD 2.0 AUT;MINI
SANTA FE CRDI 2.2;HYUNDAI
JUKE UPPER 4X4 CVT 1.6;NISSAN
TIIDA 1.5 AUT;NISSAN
XC90 D5 KINETIC 2.0;VOLVO
S60 D2 COMFORT;VOLVO
5008 ALLURE BLUE HDI 1.6 AUT;PEUGEOT
GRAND TIGGO GLS 2.0 AUT;CHERY
4008 4WD 2.0 AT;PEUGEOT
ML400 3.0;MERCEDES BENZ
SQ5 TFSI QUATTRO 3.0 AUT;AUDI
Q7 TDI 3.0;AUDI
SIENTA 1.5 AUT;TOYOTA
YETI TSI 4X4 1.8;SKODA
315 SPRINTER 2.2;MERCEDES BENZ
TOUAREG 3.0;VOLKSWAGEN
PATHFINDER ADVANCE CVT 3.5;NISSAN
TIVOLI FULL 1.6;SSANGYONG
3008 ACTIVE HDI FULL 1.6;PEUGEOT
NEW OUTBACK LTD 4X4 CVT 2.5I;SUBARU
QASHQAI AWD CVT 2.0;NISSAN
ALL NEW OUTBACK AWD 2.5 AUT;SUBARU
MOKKA ENJOY 1.4 AT;OPEL
CRETA GL 1.6;HYUNDAI
DISCOVERY SPORT 4X4 2.0 AUT;LAND ROVER
A4 ALL ROAD TFSI 2.0 AUT;AUDI
CX 9 GTX 4X4 AT;MAZDA
NEW PATHFINDER 4X4 2.5;NISSAN
VITARA GLS 1.6 AUT;SUZUKI
VAN SUCCE 1.6;DONGFENG
VITARA GLX 1.6 AUT;SUZUKI
HR V EXL 4X4 1.8 AUT;HONDA
PATHFINDER 4X4 1.5 AUT;NISSAN
MONTERO SPORT G2 HP GLS 2.5 AT;MITSUBISHI
VAN EX VVT 1.2;LIFAN
NEW SORENTO VGT EX FULL 4X4 2.5;KIA MOTORS
LINGZH1 M5 PASSENGER 2.2;DFM
SX4 2.0;SUZUKI
HR V LX 1.8 AUT;HONDA
FORESTER LTD SPORT AWD 2.5 AUT;SUBARU
2008 PURETECH 1.2 AT;PEUGEOT
Q5 FSI QUATTRO 3.0 AUT;AUDI
X3 SDRIVE20I 2.0 AUT;BMW
TAHOE III LT 4WD 5.3 AT;CHEVROLET
NEW TIGGO DVVT 1.6;CHERY
DEMIO 1.5 AUT;MAZDA
OCTAVIA COMBI TDI 1.6 AUT;SKODA
Q7 3.0 AUT;AUDI
H1 GLS 2.5 AUT;HYUNDAI
ORLANDO 2.4;CHEVROLET
REIN 2.4;JAC
FIESTA 1.6;FORD
XUV 500;MAHINDRA
206 1.3;BAIC YINXIANG
SORENTO 4X4 2.0 AUT;KIA
TIGUAN SPORT TSI 4X4 2.0 AT;VOLKSWAGEN
GRAND NOMADE GLX SPORT;SUZUKI
GLE 63 AMG;MERCEDES BENZ
XC90 D5 AWD COMFORT;VOLVO
H2 ELITE 1.5;HAVAL
JUKE CVT 1.6;NISSAN
Q7 TDI QUATTRO 3.0;AUDI
2008 CROSSWAY E HDI 1.6 AUT;PEUGEOT
TRAVERSE LT 3.6;CHEVROLET
SANTA FE GLS FULL 2.4 AUT;HYUNDAI
PILOT ELITE 4X4 3.5 AUT;HONDA
335I XDRIVE 3.0 AUT;BMW
NEW PATHFINDER LE 4X4 2.5;NISSAN
XC90 D5 R DESIGN AWD;VOLVO
NEW OUTBACK 2.5 AT;SUBARU
ALL NEW OUTBACK XS CVT 2.5I;SUBARU
Q7 3.0;AUDI
Q5 FSI QUATTRO FL 3.0 AUT;AUDI
XC60 AWD 3.0 AUT;VOLVO
TIGUAN SPORT TSI 4X4 2.0;VOLKSWAGEN
EXPLORER LTD 2.0 AT;FORD
TUCSON GLS PREMIUM 4X4 2.0 AUT;HYUNDAI
N G CHEROKEE OVERLAND 4X4 5.7 AUT;JEEP
N GRAND CHEROKEE OVERL 4X4 5.7 AUT;JEEP
QX60 4X4 3.5 AUT;INFINITI
G350 BLUETEC;MERCEDES BENZ
HI ACE 2.0 AUT;TOYOTA
JOURNEY RT 2.4 AUT;DODGE
CAPTIVA II LT FULL 4X4 2.4 AT;CHEVROLET
CAPTUR HB EXPRESSION 1.5;RENAULT
EDGE 2.3 AUT;FORD
ALL NEW OUTBACK DYNAMIC 2.5I AUT;SUBARU
INSIGNIA COSMO AWD 2.0;OPEL
TIGUAN FL ENTRY TSI 1.4;VOLKSWAGEN
SPORTAGE PRO II LX 4X4;KIA MOTORS
INSIGNIA EDITION 2.0 AT;OPEL
ML 400 SPORT;MERCEDES BENZ
TRIBECA LTD 4X4 3.6R  AUT;SUBARU
NEW CX 5 4X4 2.0 AUT;MAZDA
MULTISPACE N2;CITROEN
AXELA 2.0 AUT;MAZDA
GRAND CARNIVAL EX LIMITED 2.9 AT;KIA MOTORS
CX 9 GT 4X4 3.8 AT;MAZDA
CARAVAN LE 3.3 AUT;CHRYSLER
CAPTIVA IV LT FULL 2.2 AUT;CHEVROLET
N350 SUV 4X4;JMC
WRANGLER UNLTD SAHARA 4X4 3.6 AUT;JEEP
SPORTAGE 2.4;KIA
EXPLORER LTD 4WD 3.5 AT;FORD
2008 ALLURE 1.2 AUT;PEUGEOT
VIVANT LS 1.6;CHEVROLET
EXPEDITION LTD 4X4 5.4;FORD
CAPTUR AUTHENTIQUE 1.5;RENAULT
WRANGLER UNLIMITED SAHARA 3.6;JEEP
NEW MONTERO SPORT G2 2.5;MITSUBISHI
TIGUAN SPORT 4X4 2.0;VOLKSWAGEN
NEW CARNIVAL LX DAB 2.7 AUT;KIA MOTORS
NEW OUTLANDER GLS 2.4;MITSUBISHI
CHEROKEE 4X4 3.7 AUT;JEEP
QX70 3.7;INFINITI
XC90 D5 AWD 2.0 AUT;VOLVO
COMPASS SPORT 2.0;JEEP
SANTA FE 2.2 AT;HYUNDAI
KORANDO DLX 4X4 2.0 AUT;SSANGYONG
TRIBECA 3.6 AWD LIMITED AT;SUBARU
CRV EXR 2.4 AUT;HONDA
TOWN COUNTRY;CHRYSLER
GLE 250 D;MERCEDES BENZ
FORESTER LTD SPORT AWD 2.5I;SUBARU
H3 4X4 5.3 AUT;HUMMER
PATHFINDER SENSE CVT 3.5;NISSAN
NEW CS35 LUXURY 1.6 AUT;CHANGAN
NEW CHEROKEE SPORT 2.4;JEEP
OUTLANDER 4X4 2.4;MITSUBISHI
FORESTER TURBO 4X4 2.0 AUT;SUBARU
NEW PATHFINDER 2.5 AUT;NISSAN
NEW X6 4.4 AUT;BMW
NEW X1 SDRIVE20I HEA 2.0 AUT;BMW
NEW PATHFINDER SE 4X4;NISSAN
H6 SPORT ELITE 4X4 1.5;HAVAL
TOUAREG 4X4 4.2 AUT;VOLKSWAGEN
GRAND SANTA FE GLS CRDI 4X4 2.2 AUT;HYUNDAI
NEW TRIBECA LTD AWD 3.6R AUT;SUBARU
EXPLORER 2.5;FORD
ALL NEW OUTBACK DYNAMIC CVT 2.5I;SUBARU
ALL NEW OUTBACK XS 2.5I AUT;SUBARU
GRAND CHEROKEE LTD 4X4 6.1 AUT;JEEP
GRAND CHEROKEE 4X4 4.7 AUT;JEEP
QX50 3.7 AUT;INFINITI
CX 5 AWD 2.0;MAZDA
500X 1.6;FIAT
GRAND CHEROKEE LTD 4X4 3.0;JEEP
ALL NEW OUTBACK 2.5I AWD XA AUT;SUBARU
NEW RAV4 LTD 2.5;TOYOTA
VAN AC II 1.3;DFSK
CHEROKEE LIBERTY SPORT 4X4 3.7;JEEP
GRAND TOWN Y COUNTRY LX 3.8 AT;CHRYSLER
GRAND CHEROKEE LTD 4X4 3.7 AUT;JEEP
XC70 D5 COMFORT 4X4 2.4 AUT;VOLVO
SPORTAGE GTL 2.0 AUT;KIA MOTORS
MONTERO 4WD 3.2 AUT;MITSUBISHI
GLC250;MERCEDES BENZ
PILOT ELITE 4X4 3.5;HONDA
H2 ELITE 4X4 1.5;HAVAL
BESTURN X80 DLX 2.0 AUT;FAW
SWIFT 1.3;SUZUKI
NEW WRX AWD CVT 2.0T;SUBARU
TIGUAN TREND TSI 1.4;VOLKSWAGEN
V50 2.4 AUT;VOLVO
XV 2.0R AWD LTD AUT;SUBARU
C4 GRAND PICASSO 2.0 AUT;CITROEN
X25 1.5;BAIC
FREELANDER 4X4 2.0;LAND ROVER
PATHFINDER SE AUT;NISSAN
GLE 350D COUPE SPORT;MERCEDES BENZ
ALL NEW OUTBACK 2.5I AWD XS CVT;SUBARU
CX9 3.7;MAZDA
SANTA FE 4X4 2.0;HYUNDAI
V3 SUV 1.5;BRILLIANCE
G VITARA S GLX 4X4 1.6;SUZUKI
S6 GLXI 2.4;BYD
SORENTO II EX FULL 4X4 3.8 AUT;KIA MOTORS
ALL NEW FORESTER LTD AWD 2.5I AUT;SUBARU
SPORTAGE GTL 4X4 2.0 AUT;KIA MOTORS
XC60 T5 LTD 2.0 AUT;VOLVO
RENEGADE LX SPORT 1.7;JEEP
NEW CARNIVAL LX DAB 2.7;KIA MOTORS
N350 SUV;JMC
RENEGADE SPORT 1.7;JEEP
YETI 1.2 AT;SKODA
NEW PILOT TOURING 4X4 3.5 AUT;HONDA
TIGUAN TDI HIGHLINE 2.0 AUT;VOLKSWAGEN
XC60 LTD AWD 2.4 AUT;VOLVO
ML 300 CDI 4X4 3.0 AUT;MERCEDES BENZ
FORESTER 2 4X4 2.0 AT;SUBARU
LAND CRUISER 4X4 3.0 AUT;TOYOTA
TIGUAN TSI 4WD 2.0;VOLKSWAGEN
NEW 4RUNNER LTD 4X4 4.0 AUT;TOYOTA
KORANDO XDI 2.2 AUT;SSANGYONG
RS Q3 4X4 2.5 AUT;AUDI
XC90 D5 AUT;VOLVO
GLE 63 S AMG COUPE;MERCEDES BENZ
NEW ESCAPE;FORD
MACAN 4X4 3.6 AUT;PORSCHE
NEW X TRAIL 4WD CVT 2.5;NISSAN
XC90 T5 2.0;VOLVO
XTRAIL CLASIC 1.6 AUT;NISSAN
CLA 200 SHOOTING BRAKE;MERCEDES BENZ
RENEGADE SPORT LX 1.8;JEEP
GLE 400;MERCEDES BENZ
323;MAZDA
TUCSON TL GL ADVANCE 2.0 AT;HYUNDAI
CS35 LUXURY 1.6 AUT;CHANGAN
NEW SOUL EX 1.6 AUT;KIA MOTORS
218I ACTIVE TOURER 1.5 AUT;BMW
GRAND CARNIVAL LX 3.3 AUT;KIA MOTORS
ALL NEW LAND CRUISER 4X4 4.0 AUT;TOYOTA
ML 350 AUT;MERCEDES BENZ
;AUDI
REXTON FULL 4X4 AT;SSANGYONG
CX 9 R 4X4 3.7 AUT;MAZDA
H6 SPORT 4X4 1.5;HAVAL
SORENTO EX FULL 4X4 2.4 AUT;KIA
Q7 TFSI 3.0;AUDI
5 AUT;MAZDA
NEW LEGACY 2.5I 4X4 AUT;SUBARU
HR V EX 1.8 AT;HONDA
VIANO TREND 2.1;MERCEDES BENZ
ECOSPORT 2.0 AUT;FORD
JUKE 4WD 1.6 AUT;NISSAN
CARNIVAL DAB 2.7 AUT;KIA MOTORS
NEW SPORTAGE PRO BWS LX DAB 2.0;KIA MOTORS
COUNTRYMAN COOPER PEPPER 1.6 AUT;MINI
NEW RAV4 LTD 4X4 2.5;TOYOTA
CAYENNE GTS 3.6;PORSCHE
PATHFINDER LE 2.5;NISSAN
NEW OUTBACK 2.5I;SUBARU
RENEGADE LX 1.8;JEEP
QASHQAI FULL 4X4 CVT 2.0;NISSAN
CR V LX DOHC HB 2.4 AT;HONDA
GLE 400 SPORT;MERCEDES BENZ
NEW IMPREZA SPORT CX AWD 2.0I;SUBARU
G 63 AMG;MERCEDES BENZ
XC70 D5 COMFORT 2.5;VOLVO
DISCOVERY 4X4 3.0 AUT;LAND ROVER
508 RXH BLUE HDI 2.0 AT;PEUGEOT
XV AWD 2.0 AUT;SUBARU
FORESTER AWD CVT 2.5I;SUBARU
EXPLORER LTD 2.3 AT;FORD
NEW HR V EX 1.8 AUT;HONDA
CAPTIVA III FULL 4X4 2.2 AUT;CHEVROLET
X5 XDRIVE50I SPORT 4.4 AUT;BMW
NEW HR V LX 1.8;HONDA
V 220 CDI;MERCEDES BENZ
X TRAIL XL 806 AT;NISSAN
X1 XDRIVE 28I XLINE 2.0 AUT;BMW
Q5 TFSI 2.0;AUDI
FORESTER AWD CVT 2.0;SUBARU
TUCSON TL CRDI GL ADVANCE 2.0 AT;HYUNDAI
NEW PATHFINDER LE FULL 2.5 AT;NISSAN
PILOT TOURING 4X4 3.5;HONDA
308 1.6 AUT;PEUGEOT
EDGE LTD 4X4 3.5 AUT;FORD
TUCSON IX 2.0;HYUNDAI
2008 ALLURE 1.6 AUT;PEUGEOT
MOKKA COSMO 1.4 AT;OPEL
V60 T5 R DESIGN;VOLVO
FORESTER DYNAMIC AWD 2.5 AUT;SUBARU
EQUINOX 2.5 AUT;CHEVROLET
NEW HR V EXL 4X4 1.8 AUT;HONDA
X1 SDRIVE20I XLINE 2.0;BMW
X3 XDRIVE20D LCI 2.0 AUT;BMW
TUCSON GL ADVANCE 2.0 AUT;HYUNDAI
X4 XDRIVE 30D 3.0 AUT;BMW
GLK 220 CDI BLUEEFFI FULL 2.1 AUT;MERCEDES BENZ
VAN XL LX 1.2;LIFAN
DURANGO LTD LX 4X4 3.6 AUT;DODGE
FJ CRUISER 4.0;TOYOTA
EDGE 4X4 3.5;FORD
V3 1.5;BRILLIANCE
TRACKER AWD 1.8 AT;CHEVROLET
V5 SUV SPORT 1.5;BRILLIANCE
XC60 T5 AWD 2.5 AUT;VOLVO
GRAND CARNIVAL EX FULL 2.2 AT;KIA
TUCSON TL CRDI 4WD 2.0 AT;HYUNDAI
HR V EXL 4X4 CVT 1.8;HONDA
TEPEE OUTDOOR ALLURE 1.6;PEUGEOT
WRANGLER UNLTD RUBICON 3.6;JEEP
Q3 TFSI SPORT 2.0;AUDI
COUNTRYMAN COOPER LCI 1.6 AT;MINI
CS 35;CHANGAN
TUCSON 4WD 2.0 AUT;HYUNDAI
4RUNNER LTD 4.0;TOYOTA
XC90 T6 2.0;VOLVO
X5 XDRIVE 35I COMFORT 3.0 AUT;BMW
TIGUAN TSI CONFORT 4WD 2.0 AUT;VOLKSWAGEN
CAPTIVA LT 4X4 2.4 AUT;CHEVROLET
NEW SPORTAGE PRO LX DAB 2.0;KIA MOTORS
TUCSON 2.4 AUT;HYUNDAI
HAVAL H5 4X4 2.0;GREAT WALL
4008 PREMIER 4WD 2.0 AUT;PEUGEOT
SANTA FE 3.5;HYUNDAI
TIGUAN TDI 4X4 AT;VOLKSWAGEN
MULTIVAN TDI 2.0;VOLKSWAGEN
NEW SCORPIO GLX CRDE 2.2;MAHINDRA
GLA 200  1.6 AUT;MERCEDES BENZ
TUCSON TL CRDI SPORT 2.0 AUT;HYUNDAI
H2 DELUXE 1.5;HAVAL
GLE 350 D COUPE;MERCEDES BENZ
ACTYON XDI;SSANGYONG
OCTAVIA 1.4;SKODA
SCORPIO GLX FULL 4X4 2.2;MAHINDRA
FJ CRUISER LTD 4.0 AUT;TOYOTA
FJ CRUISER LIMITED 4X4 4.0 AUT;TOYOTA
TUCSON GLS LTD 4WD 2.0 AUT;HYUNDAI
CX 5 GT AWD 2.2 AT;MAZDA
RANGE ROVER SPORT AWD 3.0 AUT;LAND ROVER
DURANGO LTD 4X4 3.6;DODGE
X3 XDRIVE35I XLINE 3.0 AUT;BMW
WRANGLER UNL SAHARA 2.8 AUT;JEEP
CRV LX 2.4 AT;HONDA
SANTA FE GLS FULL 4WD 2.2 AUT;HYUNDAI
COOPER COUNTRYMAN S 4X4 1.6 AUT;MINI
CAPTIVA 2.2;CHEVROLET
CX5 2.5 AUT;MAZDA
CHARGER 3.6 AUT;DODGE
SWIFT 1.5 AUT;SUZUKI
OCTAVIA TSI 1.4;SKODA
RAV4 LTD 2.4;TOYOTA
ALL NEW OUTBACK 2.5I 4X4 LTD;SUBARU
COMPASS 3.5 AUT;JEEP
PATHFINDER LE 4.0 AUT;NISSAN
JOYEAR X3 LUX 1.6;DFM
JOYEAR X3 1.6;DFM
NEW SPORTAGE PRO GLS LX 4X4 2.0;KIA MOTORS
YETI CITY TDI 2.0;SKODA
X5 XDRIVE30D AUT;BMW
GRAND CARAVAN SXT 3.6 AUT;DODGE
OUTBACK 4X4 2.5I AUT;SUBARU
OUTBACK 4X4 CVT 2.0I;SUBARU
SORENTO 4WD 2.5 AUT;KIA
PATHFINDER 4X4 2.5;NISSAN
VITO 114 CDI;MERCEDES BENZ
207 1.6 AUT;PEUGEOT
HAVAL NEW H3 LE 2.0;GREAT WALL
XUV500 LTD CRD;MAHINDRA
ALL NEW OUTBACK AWD 2.0 AUT;SUBARU
V60 T5 AWD 2.5;VOLVO
H30 CROSS;DFM
ESCALADE PLATINUM 6.2 AUT;CADILLAC
NEW SORENTO EX FULL 4X4 2.2 AUT;KIA MOTORS
TRAVERSE LTZ 4X4 3.6 AUT;CHEVROLET
SPORTAGE LX AWD 2.0;KIA MOTORS
SANTA FE GLS 4X4 2.2 AT;HYUNDAI
OUTBACK XS CVT 2.0I;SUBARU
ACADIA SLT 3.6 AUT;GMC
MACAN S 4X4 3.0 AUT;PORSCHE
NEW ECOSPORT XLS PLUS;FORD
ALL NEW FORESTER XS 4X4 2.0 AUT;SUBARU
A4 ALLROAD TFSI Q 2.0 AUT;AUDI
GLA 220 D;MERCEDES BENZ
X5 SDRIVE25D 2.0 AUT;BMW
TUCSON LM CRDI GL 4WD 2.0 AT;HYUNDAI
500X POP STAR 1.6;FIAT
CROSS ROAD 4X4 1.8 AUT;HONDA
COUNTRYMAN COOPER PEPPER 4WD 1.6;MINI
ERTIGA GL 1.4;SUZUKI
VITARA GLX 4X4 1.6;SUZUKI
PATHFINDER 4X4 3.5 AT;NISSAN
320I GRAN TURISMO SPORT 2.0 AUT;BMW
NEW TERIOS LEI 4X4 1.5;DAIHATSU
ALL NEW 4RUNNER 4.0 AUT;TOYOTA
TUCSON TL SPORT 2.0;HYUNDAI
V60CC T5 AWD 2.5 AUT;VOLVO
GLE 350 COUPE SPORT;MERCEDES BENZ
ALL NEW OUTBACK AWD CVT 2.0;SUBARU
V3 GX ELITE 1.5;BRILLIANCE
NEW PILOT ELITE 4X4 AUT;HONDA
REXTON XDI 2.0;SSANGYONG
CR V EXL HB 4X4 2.4 AUT;HONDA
FJ CRUISER 4.0 AUT;TOYOTA
SUBURBAN LT SU 4WD 5.3;CHEVROLET
GLA 45 AMG;MERCEDES BENZ
CALIFORNIA 4X4;VOLKSWAGEN
TRACKER 1.8 AUT;CHEVROLET
RANGER XLT 3.5 AUT;FORD
CAPTIVA IV LTZ AWD 2.2 AT;CHEVROLET
NEW OUTBACK AWD 2.5I AUT;SUBARU
S3 1.5 AUT;JAC
TUCSON TL GL ADVANCE 2.0 AUT;HYUNDAI
2008 ACTIVE HDI 1.6;PEUGEOT
FORESTER 2.5I AUT;SUBARU
H6 SPORT DELUXE 1.5;HAVAL
MINI VAN;HAFEI
XC70 PLUS 4X4 2.4 AUT;VOLVO
RAV4 ADVANTAGE 2.4;TOYOTA
SPLENDOR 2.0;BRILLIANCE
TRAVERSE LTZ AWD 3.6 AUT;CHEVROLET
TIVOLI 4X4 1.6 AUT;SSANGYONG
XUV500 TURBO 4X4 2.2;MAHINDRA
EXPLORER II XLT COMFORT 4X4 4.0;FORD
MONTERO SPORT TURBO 4X4 2.5 AUT;MITSUBISHI
XC90 4X4 2.5 AUT;VOLVO
SIENA WEEKEND TREKKING 1.4;FIAT
NEW TUCSON TL CRDI GL 2.0 AUT;HYUNDAI
CAYENNE PLATINIUM;PORSCHE
GRAND CHEROKEE 4X4 3.7 AUT;JEEP
2008 ACTIVE HDI FULL 1.4;PEUGEOT
ESCAPE LTD 2.5 AUT;FORD
YETI TDI ELEGANCE 4X4 2.0 AUT;SKODA
XC90 T6 AWD 2.0 AUT;VOLVO
SQ5 3.0 AUT;AUDI
VITARA LTD 4X4 1.6;SUZUKI
RAV4 4X4 2.5 AT;TOYOTA
TUCSON TL CRDI ADVANCE GL 2.0;HYUNDAI
CHEROKEE 4X4 3.2 AUT;JEEP
CHEROKEE TRAILHAWK 3.2;JEEP
NEW HR V LX 1.8 AUT;HONDA
G350 BLUETEC  3.0;MERCEDES BENZ
KORANDO 2.2 AUT;SSANGYONG
ALL NEW CX 3 R 2.0;MAZDA
DISCOVERY 4 HSE 4X4 3.0 AUT;LAND ROVER
CERATO SX DAB 1.6;KIA MOTORS
F PACE PRESTIGE 2.0;JAGUAR
XUV500 LTD CRDE 4X4 2.2;MAHINDRA
RAV4 LTD 4X4 2.5;TOYOTA
VAN DX DA 1.3;LIFAN
SCORPIO GLX CRDE 4X4 2.2;MAHINDRA
XC 90 R DESIGN 2.5;VOLVO
ACTYON KYRON 2.3;SSANGYONG
YETI ELE TSI 1.2 AUT;SKODA
ESCAPE LEATHER 4X4 2.0 AUT;FORD
REXTON 4X4 2.2;SSANGYONG
XC60 D4 COMFORT 2.0 AUT;VOLVO
V40CC T4 AUT;VOLVO
PREMACY 4X4 2.0 AUT;MAZDA
NITRO SLT 3.7;DODGE
XV 4X4 2.0;SUBARU
SQ5 TFSI FL 4X4 3.0 AUT;AUDI
4008 FELINE EHDI 4WD 1.6;PEUGEOT
XV 4X4 2.0I AUT;SUBARU
ALL NEW OUTBACK AWD CVT 3.6R;SUBARU
SORENTO TURBO 4X4 2.2 AUT;KIA
KOLEOS EXPRESSION 2.5 AUT;RENAULT
HRV EX 1.8 AUT;HONDA
CHEROKEE 4X4 3.7;JEEP
COOPER COUNTRYMAN 1.6 AUT;MINI
RUSH 1.5;TOYOTA
MACAN R4 2.0;PORSCHE
VERISA 1.5 AUT;MAZDA
MACAN 3.6;PORSCHE
PATRIOT 4X4 2.4;JEEP
V60 T5;VOLVO
TUCSON TL SPORT 2.0 AUT;HYUNDAI
IMPREZA 1.5 AUT;SUBARU
NX300 H 4X4 2.5 AUT;LEXUS
NEW COMPASS LX 4X4 CVT 2.4;JEEP
TRACKER LT AWD 1.8;CHEVROLET
JUKE ADVANCE CVT 1.6;NISSAN
QASHQAI AWD 2.0 AUT;NISSAN
PILOT ELITE 4X4 3.5 AT;HONDA
C3 1.6 AUT;CITROEN
V3 SUV GX SPORT 1.5;BRILLIANCE
G TOWN COUNTRY TOURING 3.8 AUT;CHRYSLER
TOUAREG 4WD 4.2 AUT;VOLKSWAGEN
STAVIC 2.2 AUT;SSANGYONG
ALL NEW CX 3 R 4X4 2.0;MAZDA
REXTON 4X4 2.2 AUT;SSANGYONG
;FORD
C3  PICASSO 1.6;CITROEN
SANTA FE GLS FULL 4WD 3.3 AUT;HYUNDAI
TUCSON FL CRDI GL 4WD 2.0 AUT;HYUNDAI
VITARA GLX 4X4 1.6 AUT;SUZUKI
ERTIGA GLX 1.4;SUZUKI
XC90 D5 4X4 2.0 AUT;VOLVO
XUV500 FL CRDE 2.2;MAHINDRA
TAHOE LTZ 4WD 5.3;CHEVROLET
XV AWD CVT 1.6I;SUBARU
V3 SUV ELITE 1.5;BRILLIANCE
CAPTIVA IV LT FULL 2.4 AUT;CHEVROLET
X5 XDRIVE50I FULL 4.4 AUT;BMW
DISCOVERY SPORT AWD 2.2 AUT;LAND ROVER
ROGUE 2.0 AUT;NISSAN
TUCSON TL GLS PREMIUN 4X4 2.0 AUT;HYUNDAI
MONTERO SPORT G2 GLS 4X4 2.5 AUT;MITSUBISHI
CARNIVAL 2.7 AUT;KIA
NEW RAV4 CVT 2.0;TOYOTA
NEW CR-V EXL HB 4X4 2.4 AUT;HONDA
XUV500 FULL AWD 2.2;MAHINDRA
JOYEAR CROSS FULL 1.6;DONGFENG
NEW SPORT G2 GLS 3.2 AT;MITSUBISHI
Q3 FSI QUATTRO 2.0 AUT;AUDI
PILOT NEW ELITE 4X4 3.5 AUT;HONDA
ALL NEW FORESTER XS AWD CVT 2.0I;SUBARU
FREED 15 AUT;HONDA
FORESTER XT AWD 2.0 AUT;SUBARU
Q5 PREMIUM TURBO AWD 2.0 AUT;AUDI
TUCSON CRDI GL ADVANCE 2.0;HYUNDAI
X TRAIL FULL AUT;NISSAN
SCORPIO SUV TURBO 4X4 2.2;MAHINDRA
CAPTIVA II LT FULL 2.2 AT;CHEVROLET
TEPEE ALLURE HDI 1.6;PEUGEOT
TRACK LS 1.4 AUT;CHEVROLET
YETY TSI 1.2;SKODA
ROUGE 4X4 2.5 AUT;NISSAN
CRETA 1.6;HYUNDAI
GLK3 3.0;MERCEDES BENZ
GX460 4X4 4.6 AUT;LEXUS
3008 ACTIVE 1.6;PEUGEOT
WRANGLER UNLTD SAHARA 3.6;JEEP
EXPLORER II EDDIE BAUER 4X4 4.6;FORD
FORESTER AWD 2.0I AUT;SUBARU
SPORTAGE GTL AWD 2.0 AUT;KIA MOTORS
GRAND SANTA FE GLS 4X4 2.2 AUT;HYUNDAI
FORESTER 2.0I AWD AUT;SUBARU
DUALIS 2.0 AUT;NISSAN
TUCSON TL CRDI GL ADVANCE 2.0;HYUNDAI
RANGEROVER 4.4 AUT;LAND ROVER
GRAND SANTA FE GLS 4X4 3.3 AUT;HYUNDAI
CAYENNE S AWD 4.2 AUT;PORSCHE
2008 ALLURE PURETECH 1.2 AT;PEUGEOT
MONTERO 4X4 3.2;MITSUBISHI
Q5 TFSI 3.0;AUDI
MPV 2.3 AUT;MAZDA
X5 SUV LUX FULL 2.0;LANDWIND
STAVIC XDI 4X4 2.2 AUT;SSANGYONG
TIGUAN COMFORTLINE AUT;VOLKSWAGEN
2008 ALLURE BLUEHDI 1.6;PEUGEOT
STAVIC FULL 2.2;SSANGYONG
NEW MONTERO SPORT GLX 4X4 2.5 AUT;MITSUBISHI
FIT 1.5 AUT;HONDA
SANTA FE GL 4X4 2.2 AUT;HYUNDAI
ALL NEW FORESTER4WD 2.0 AUT;SUBARU
MAXCRUZ 2.0 AUT;HYUNDAI
GS 1.5;MG
Q7 TFSI 2.0 AUT;AUDI
KORANDO XDI 2.2;SSANGYONG
CAPTIVA III LT FULL 4X4 2.4 AUT;CHEVROLET
EVOQUE DYNAMIC 2.2 AUT;LAND ROVER
XC90 T5 KINETIC 2.0;VOLVO
218I TOURER 1.5 AUT;BMW
NEW HAVAL H3 LE 4X4 2.0;GREAT WALL
V3 SUV GX ELITE 1.5 AUT;BRILLIANCE
 X5 XDRIVE30D EXECUTIVE   ;BMW
MONTERO 2.5 AUT;MITSUBISHI
CAPTIVA LT AWD 2.2 AUT;CHEVROLET
LF VAN 1.2;LIFAN
MURANO FULL 4X4 AUT;NISSAN
N MONTERO 4X4 3.8 AUT;MITSUBISHI
S CROSS GLX 4X4 1.6 AUT;SUZUKI
COOPER COUNTRYMAN S 4WD 1.6;MINI
JUKE 4X4 1.6;NISSAN
STAVIC XDI 2.2;SSANGYONG
XC60 D5 AWD 2.4 AUT;VOLVO
NEW PILOT TOURING 4X4 AUT;HONDA
OCTAVIA COMBI TDI 1.6;SKODA
XV AWD 1.6I AUT;SUBARU
X6 XDRIVE 30D M SPORT 3.0 AUT;BMW
SANTA FE FL CRDI 4X4 2.2;HYUNDAI
EDGE 4WD 3.5 AUT;FORD
RENEGADE SPORT 1.8;JEEP
REXTON 2.2 AUT;SSANGYONG
TERRAIN SLE 4X4 3.0 AUT;GMC
VITARA GLX 4X4 1.4 AUT;SUZUKI
